标志,ID,人物,位置,内容,跳转
^,0,8,,（宋背景图）,1
#,1,你,左,（左看右看）这里难道是。。。宋朝？,2
#,2,大喵,右,猜对了！欢迎来到北宋！,3
#,3,大喵,右,北宋时期，商品经济繁荣，海上贸易兴盛，航海与军事需求直接推动了指南针等实用技术的突破。,4
#,4,大喵,右,与此同时，科举制度的完善促进了文人阶层对实证研究的重视，,5
#,5,大喵,右,科技著作（如《梦溪笔谈》）的涌现，使得科学观察与实践精神蔚然成风。,6
#,6,大喵,右,在此背景下，沈括系统总结了磁针的制造方法及地磁偏角现象。,7
#,7,大喵,右,现在，你的任务是协助他搜集材料，按照《梦溪笔谈》的记载，复原并优化当时的指南针制作工艺。,8
#,8,你,左,（上前两步，郑重拱手躬身）,9
#,9,你,左,这位先生你好，敢问尊驾可是《梦溪笔谈》的著者沈括先生？,10
#,10,沈括,右,（捋须含笑，目露赞许）,11
#,11,沈括,右,"后生可畏啊！既已读过拙作《梦溪笔谈》，想必对""磁石引针""之理有所心得。",12
#,12,沈括,右,老夫正欲依方家之法重制指南之器，不知小友可愿相助，共寻良材？,13
#,13,你,左,是后生的荣幸！,14
END,14,,,,
